c:\users\markus\desktop\winos\promotion\messzeiten\2015_sept_beamtime\test\i09-58244_n1shbn-xsw\singleslices\i09-58244_n1shbn-xsw_slice00_296880.vms	

Data Set	N1s	STDEV_N1s
1.220000e+002	5.741569e-002	3.353989e-001	
1.230000e+002	7.364199e-003	4.332203e-001	
1.240000e+002	3.653782e-002	3.748830e-001	
1.250000e+002	1.403905e-002	4.166095e-001	
1.260000e+002	-3.886281e-002	4.985723e-001	
1.270000e+002	2.644721e-003	5.100748e-001	
1.280000e+002	-3.850944e-002	5.588843e-001	
1.290000e+002	-8.639942e-003	4.815687e-001	
1.300000e+002	-1.664608e-003	4.307053e-001	
1.310000e+002	6.546985e-002	3.607419e-001	
1.320000e+002	4.987577e-002	2.900800e-001	
1.330000e+002	1.398063e-002	3.916813e-001	
1.340000e+002	-3.058395e-002	4.443938e-001	
1.350000e+002	2.749952e-002	4.001765e-001	
1.360000e+002	5.383229e-002	2.938085e-001	
1.370000e+002	-7.752910e-003	4.002576e-001	
1.380000e+002	3.050714e-002	3.561926e-001	
1.390000e+002	-2.344275e-002	4.815008e-001	
1.400000e+002	-3.291239e-002	4.607951e-001	
1.410000e+002	-7.680724e-003	4.121874e-001	
1.420000e+002	-1.685446e-002	4.608105e-001	
1.430000e+002	1.077028e-003	3.503657e-001	
1.440000e+002	3.976806e-002	3.430551e-001	
1.450000e+002	3.043942e-002	3.105980e-001	
1.460000e+002	2.753150e-002	2.438465e-001	
1.470000e+002	2.376468e-004	2.713265e-001	
1.480000e+002	-1.521222e-002	3.516758e-001	
1.490000e+002	4.431617e-002	2.890100e-001	
1.500000e+002	-5.703290e-003	3.762899e-001	
1.510000e+002	4.252247e-002	2.809641e-001	
1.520000e+002	-4.794351e-003	3.748997e-001	
1.530000e+002	-9.444354e-002	4.728210e-001	
1.540000e+002	5.877092e-002	2.892240e-001	
1.550000e+002	3.016460e-002	2.659753e-001	
1.560000e+002	4.031543e-002	2.732502e-001	
1.570000e+002	-3.537937e-002	4.257299e-001	
1.580000e+002	-1.076189e-002	3.708579e-001	
1.590000e+002	6.278024e-002	3.411029e-001	
1.600000e+002	4.991348e-002	3.797131e-001	
1.610000e+002	-9.483256e-002	5.556740e-001	
1.620000e+002	9.278640e-003	3.764013e-001	
1.630000e+002	-2.776260e-002	5.002338e-001	
1.640000e+002	4.547408e-002	4.338663e-001	
1.650000e+002	1.664328e-002	3.356996e-001	
1.660000e+002	2.329861e-002	3.865846e-001	
1.670000e+002	-8.390621e-003	3.856477e-001	
1.680000e+002	8.881022e-003	4.569944e-001	
1.690000e+002	3.924272e-002	3.516061e-001	
1.700000e+002	8.384786e-003	3.772196e-001	
1.710000e+002	-1.571448e-002	3.693147e-001	
1.720000e+002	2.910191e-002	3.246559e-001	
1.730000e+002	-5.312499e-002	4.008146e-001	
1.740000e+002	8.350565e-002	1.964146e-001	
1.750000e+002	4.382774e-002	2.424094e-001	
1.760000e+002	-6.211072e-003	3.525673e-001	
1.770000e+002	2.669479e-002	2.807572e-001	
1.780000e+002	2.213788e-002	3.257225e-001	
1.790000e+002	1.620522e-002	3.998797e-001	
1.800000e+002	5.061112e-003	3.196428e-001	
1.810000e+002	6.620691e-002	2.520988e-001	
1.820000e+002	-1.622069e-002	3.604248e-001	
1.830000e+002	1.384850e-002	2.854712e-001	
1.840000e+002	-2.891378e-002	4.022794e-001	
1.850000e+002	-4.736277e-002	4.255522e-001	
1.860000e+002	2.996991e-002	2.357803e-001	
1.870000e+002	4.586315e-002	2.087603e-001	
1.880000e+002	9.379339e-003	2.970962e-001	
1.890000e+002	4.475666e-002	3.045749e-001	
1.900000e+002	-2.663300e-002	3.618972e-001	
1.910000e+002	-3.616302e-002	4.333662e-001	
1.920000e+002	-1.192673e-002	3.475315e-001	
1.930000e+002	2.928337e-002	3.483094e-001	
1.940000e+002	1.481187e-002	3.374849e-001	
1.950000e+002	1.734795e-002	3.555687e-001	
1.960000e+002	2.712026e-002	3.674690e-001	
1.970000e+002	-7.315835e-003	3.923691e-001	
1.980000e+002	2.358358e-002	3.745630e-001	
1.990000e+002	3.914181e-002	3.274407e-001	
2.000000e+002	-9.153053e-002	5.090711e-001	
2.010000e+002	3.252036e-002	3.358401e-001	
2.020000e+002	6.201365e-002	2.660849e-001	
2.030000e+002	5.872981e-002	2.577585e-001	
2.040000e+002	4.415212e-002	2.580189e-001	
2.050000e+002	-8.490532e-002	4.260669e-001	
2.060000e+002	3.409172e-002	2.573801e-001	
2.070000e+002	8.385188e-003	2.671107e-001	
2.080000e+002	3.925306e-002	3.006197e-001	
2.090000e+002	-3.000240e-003	4.110159e-001	
2.100000e+002	-3.695692e-003	3.804974e-001	
2.110000e+002	2.969997e-002	2.677424e-001	
2.120000e+002	-1.938495e-002	3.270741e-001	
2.130000e+002	-2.526970e-003	3.067436e-001	
2.140000e+002	-4.636191e-002	3.942051e-001	
2.150000e+002	3.700489e-002	2.774332e-001	
2.160000e+002	1.863571e-002	2.418754e-001	
2.170000e+002	-5.063355e-002	3.947519e-001	
2.180000e+002	7.463768e-003	3.568134e-001	
2.190000e+002	2.028191e-002	3.206723e-001	
2.200000e+002	1.086082e-003	2.540300e-001	
2.210000e+002	3.504356e-002	1.794129e-001	
2.220000e+002	-8.816333e-003	3.912155e-001	
2.230000e+002	1.339069e-002	2.954249e-001	
2.240000e+002	-2.211715e-002	3.799001e-001	
2.250000e+002	-5.301603e-003	3.151277e-001	
2.260000e+002	-4.049693e-002	3.562975e-001	
2.270000e+002	2.060036e-002	2.684815e-001	
2.280000e+002	6.356835e-003	2.731472e-001	
2.290000e+002	-2.081135e-002	3.878609e-001	
2.300000e+002	3.291033e-002	2.600049e-001	
2.310000e+002	-4.188914e-002	4.618072e-001	
2.320000e+002	-4.410636e-002	5.212993e-001	
2.330000e+002	-1.973243e-002	4.501077e-001	
2.340000e+002	2.837472e-003	3.763761e-001	
2.350000e+002	4.936521e-002	3.754302e-001	
2.360000e+002	-5.155525e-002	4.279080e-001	
2.370000e+002	-1.390000e-002	4.272655e-001	
2.380000e+002	4.939196e-002	3.896021e-001	
2.390000e+002	1.241967e-002	4.059650e-001	
2.400000e+002	7.429836e-002	2.379587e-001	
2.410000e+002	2.840689e-003	3.775285e-001	
2.420000e+002	4.930421e-002	2.309338e-001	
2.430000e+002	3.588198e-002	3.017760e-001	
2.440000e+002	3.085133e-002	2.464870e-001	
2.450000e+002	1.388446e-002	3.483321e-001	
2.460000e+002	-1.248131e-002	4.061932e-001	
2.470000e+002	6.260340e-002	2.445009e-001	
2.480000e+002	5.850774e-002	2.988099e-001	
2.490000e+002	4.817134e-003	3.999935e-001	
2.500000e+002	-5.934644e-002	4.524884e-001	
2.510000e+002	-5.267249e-002	4.544326e-001	
2.520000e+002	6.403562e-003	3.258939e-001	
2.530000e+002	2.570713e-002	2.225995e-001	
2.540000e+002	-4.364642e-002	3.954760e-001	
2.550000e+002	9.854857e-003	2.883968e-001	
2.560000e+002	4.505838e-002	2.223409e-001	
2.570000e+002	-3.036195e-004	3.756946e-001	
2.580000e+002	7.377790e-003	3.106312e-001	
2.590000e+002	6.597220e-002	2.015787e-001	
2.600000e+002	1.511677e-003	2.871614e-001	
2.610000e+002	-7.587046e-004	3.189489e-001	
2.620000e+002	5.507013e-002	1.261504e-001	
2.630000e+002	-2.830657e-002	4.179042e-001	
2.640000e+002	8.231494e-003	2.294827e-001	
2.650000e+002	3.475674e-002	3.655519e-001	
2.660000e+002	2.544290e-002	2.535042e-001	
2.670000e+002	3.366984e-002	3.082014e-001	
2.680000e+002	1.053201e-002	3.522924e-001	
2.690000e+002	-4.685179e-002	4.150434e-001	
2.700000e+002	-3.155915e-002	5.108905e-001	
2.710000e+002	-1.394541e-002	4.417793e-001	
2.720000e+002	9.404594e-002	3.334501e-001	
2.730000e+002	2.093135e-002	3.351394e-001	
2.740000e+002	-6.520008e-002	5.176720e-001	
2.750000e+002	-2.058740e-003	3.936391e-001	
2.760000e+002	-3.302734e-002	4.049460e-001	
2.770000e+002	1.553867e-002	2.645926e-001	
2.780000e+002	-8.137873e-003	3.683908e-001	
2.790000e+002	3.431695e-002	3.179536e-001	
2.800000e+002	-1.224137e-001	4.925211e-001	
2.810000e+002	3.422272e-002	3.075837e-001	
2.820000e+002	1.964328e-002	3.508522e-001	
2.830000e+002	-6.453958e-003	3.626722e-001	
2.840000e+002	-9.308536e-003	3.664462e-001	
2.850000e+002	5.909053e-003	2.987734e-001	
2.860000e+002	-2.787706e-002	3.581351e-001	
2.870000e+002	4.689020e-002	3.091396e-001	
2.880000e+002	1.852907e-002	2.818672e-001	
2.890000e+002	2.184661e-002	2.668237e-001	
2.900000e+002	3.295641e-002	2.358487e-001	
2.910000e+002	2.199033e-002	2.183917e-001	
2.920000e+002	2.232231e-002	2.741139e-001	
2.930000e+002	1.462317e-002	2.487154e-001	
2.940000e+002	-3.483321e-002	3.490162e-001	
2.950000e+002	2.778465e-002	2.107852e-001	
2.960000e+002	-1.098131e-004	2.787455e-001	
2.970000e+002	-1.221558e-002	3.357766e-001	
2.980000e+002	5.487936e-002	2.384290e-001	
2.990000e+002	3.285972e-002	2.657701e-001	
3.000000e+002	-7.356540e-002	4.346133e-001	
3.010000e+002	7.026519e-003	3.129525e-001	
3.020000e+002	3.733666e-004	3.150094e-001	
3.030000e+002	1.749439e-002	3.115172e-001	
3.040000e+002	-1.304656e-002	3.993688e-001	
3.050000e+002	4.500229e-002	2.269720e-001	
3.060000e+002	2.315104e-002	3.780103e-001	
