c:\users\markus\desktop\winos\promotion\messzeiten\2015_sept_beamtime\test\i09-58244_n1shbn-xsw\singleslices\i09-58244_n1shbn-xsw_slice00_296880.vms	

Data Set	N1s	STDEV_N1s
5.380000e+002	6.576425e+000	2.037361e+000	
5.390000e+002	6.181152e+000	2.183137e+000	
5.400000e+002	6.477714e+000	2.185148e+000	
5.410000e+002	9.280697e+000	2.361984e+000	
5.420000e+002	9.220868e+000	2.361602e+000	
5.430000e+002	8.672856e+000	2.584057e+000	
5.440000e+002	9.809170e+000	2.301694e+000	
5.450000e+002	9.551654e+000	2.528887e+000	
5.460000e+002	1.085457e+001	2.375030e+000	
5.470000e+002	1.154485e+001	2.352407e+000	
5.480000e+002	1.165668e+001	2.126251e+000	
5.490000e+002	1.209085e+001	2.278822e+000	
5.500000e+002	1.290701e+001	2.305845e+000	
5.510000e+002	1.460626e+001	2.191639e+000	
5.520000e+002	1.661501e+001	2.173527e+000	
5.530000e+002	1.951548e+001	2.220214e+000	
5.540000e+002	2.215600e+001	2.426831e+000	
5.550000e+002	2.348099e+001	2.523658e+000	
5.560000e+002	2.064453e+001	2.911445e+000	
5.570000e+002	1.651079e+001	2.931224e+000	
5.580000e+002	1.231046e+001	3.098989e+000	
5.590000e+002	8.822798e+000	3.439559e+000	
5.600000e+002	6.944053e+000	3.229170e+000	
5.610000e+002	5.295466e+000	3.259268e+000	
5.620000e+002	4.239227e+000	3.169195e+000	
5.630000e+002	4.654805e+000	3.038302e+000	
5.640000e+002	4.768227e+000	3.012202e+000	
5.650000e+002	4.709628e+000	2.798039e+000	
5.660000e+002	4.672699e+000	2.805751e+000	
5.670000e+002	5.129866e+000	2.879628e+000	
5.680000e+002	5.960571e+000	2.803804e+000	
5.690000e+002	6.035882e+000	2.728532e+000	
5.700000e+002	6.000106e+000	2.645883e+000	
5.710000e+002	5.642112e+000	2.928225e+000	
5.720000e+002	7.371553e+000	2.426096e+000	
5.730000e+002	6.393968e+000	2.463700e+000	
5.740000e+002	7.186265e+000	2.472472e+000	
5.750000e+002	7.444307e+000	2.452212e+000	
5.760000e+002	7.625572e+000	2.400293e+000	
5.770000e+002	1.298623e+001	2.797511e+000	
5.780000e+002	1.332852e+001	2.977321e+000	
5.790000e+002	1.294435e+001	3.061465e+000	
5.800000e+002	1.470922e+001	2.877378e+000	
5.810000e+002	1.389908e+001	2.893379e+000	
5.820000e+002	1.621470e+001	2.895105e+000	
5.830000e+002	1.631281e+001	2.875820e+000	
5.840000e+002	1.713934e+001	2.957196e+000	
5.850000e+002	1.749092e+001	2.971160e+000	
5.860000e+002	1.970445e+001	2.590764e+000	
5.870000e+002	2.065515e+001	2.752543e+000	
5.880000e+002	2.441604e+001	2.867742e+000	
5.890000e+002	2.908190e+001	2.929633e+000	
5.900000e+002	3.429351e+001	2.660450e+000	
5.910000e+002	3.448667e+001	3.291013e+000	
5.920000e+002	3.114687e+001	3.230532e+000	
5.930000e+002	2.480628e+001	3.477649e+000	
5.940000e+002	1.815519e+001	3.738742e+000	
5.950000e+002	1.273858e+001	4.079720e+000	
5.960000e+002	9.179542e+000	4.296700e+000	
5.970000e+002	7.507249e+000	4.417129e+000	
5.980000e+002	6.794546e+000	4.044614e+000	
5.990000e+002	5.867637e+000	4.187372e+000	
6.000000e+002	6.095480e+000	4.019293e+000	
6.010000e+002	7.321735e+000	3.520734e+000	
6.020000e+002	7.049903e+000	3.883317e+000	
6.030000e+002	8.415712e+000	3.440017e+000	
6.040000e+002	7.925014e+000	3.704396e+000	
6.050000e+002	8.714589e+000	3.324537e+000	
6.060000e+002	9.356261e+000	3.396407e+000	
6.070000e+002	8.554411e+000	3.483050e+000	
6.080000e+002	9.631277e+000	3.332657e+000	
6.090000e+002	1.048485e+001	2.992881e+000	
6.100000e+002	1.045403e+001	3.270884e+000	
6.110000e+002	1.063374e+001	3.103685e+000	
6.120000e+002	1.064940e+001	3.280201e+000	
6.130000e+002	1.415607e+001	3.389507e+000	
6.140000e+002	1.510360e+001	3.388466e+000	
6.150000e+002	1.558081e+001	3.339920e+000	
6.160000e+002	1.580246e+001	3.163501e+000	
6.170000e+002	1.685250e+001	3.238441e+000	
6.180000e+002	1.824368e+001	3.095852e+000	
6.190000e+002	1.883358e+001	3.245985e+000	
6.200000e+002	2.020816e+001	2.921177e+000	
6.210000e+002	2.120578e+001	3.104461e+000	
6.220000e+002	2.213769e+001	2.942545e+000	
6.230000e+002	2.502243e+001	2.928828e+000	
6.240000e+002	2.949542e+001	3.062458e+000	
6.250000e+002	3.566260e+001	3.086849e+000	
6.260000e+002	4.122194e+001	3.619070e+000	
6.270000e+002	4.243912e+001	3.536770e+000	
6.280000e+002	3.624981e+001	3.864749e+000	
6.290000e+002	2.779890e+001	3.999723e+000	
6.300000e+002	2.097560e+001	4.113101e+000	
6.310000e+002	1.520087e+001	4.545717e+000	
6.320000e+002	1.169999e+001	5.067867e+000	
6.330000e+002	9.041588e+000	4.781148e+000	
6.340000e+002	7.472712e+000	4.856132e+000	
6.350000e+002	7.122846e+000	4.420041e+000	
6.360000e+002	8.606080e+000	4.177502e+000	
6.370000e+002	8.065649e+000	4.221959e+000	
6.380000e+002	8.644765e+000	3.916112e+000	
6.390000e+002	9.426021e+000	3.983922e+000	
6.400000e+002	8.689259e+000	4.029450e+000	
6.410000e+002	9.885482e+000	3.878209e+000	
6.420000e+002	1.047044e+001	3.636798e+000	
6.430000e+002	1.116540e+001	3.600969e+000	
6.440000e+002	1.092975e+001	3.782325e+000	
6.450000e+002	1.133728e+001	3.417787e+000	
6.460000e+002	1.173988e+001	3.816419e+000	
6.470000e+002	1.125355e+001	3.702793e+000	
6.480000e+002	1.227121e+001	3.790099e+000	
6.490000e+002	9.652486e+000	2.974532e+000	
6.500000e+002	1.028005e+001	2.801837e+000	
6.510000e+002	1.017806e+001	3.029358e+000	
6.520000e+002	1.037596e+001	2.974757e+000	
6.530000e+002	1.109807e+001	3.026078e+000	
6.540000e+002	1.271547e+001	2.816732e+000	
6.550000e+002	1.288621e+001	2.700241e+000	
6.560000e+002	1.327489e+001	2.590632e+000	
6.570000e+002	1.390673e+001	2.527687e+000	
6.580000e+002	1.523737e+001	2.532940e+000	
6.590000e+002	1.647290e+001	2.672857e+000	
6.600000e+002	1.919080e+001	2.533576e+000	
6.610000e+002	2.369376e+001	2.716973e+000	
6.620000e+002	2.699188e+001	2.883744e+000	
6.630000e+002	2.751315e+001	3.148003e+000	
6.640000e+002	2.412147e+001	3.493378e+000	
6.650000e+002	1.858541e+001	3.770509e+000	
6.660000e+002	1.393904e+001	4.153543e+000	
6.670000e+002	1.028487e+001	4.454848e+000	
6.680000e+002	7.397143e+000	4.450117e+000	
6.690000e+002	5.743417e+000	4.447232e+000	
6.700000e+002	5.329180e+000	4.348569e+000	
6.710000e+002	5.361802e+000	4.325524e+000	
6.720000e+002	4.951088e+000	3.825825e+000	
6.730000e+002	5.416069e+000	3.883806e+000	
6.740000e+002	6.717295e+000	3.482078e+000	
6.750000e+002	5.853784e+000	3.582440e+000	
6.760000e+002	6.075219e+000	3.685340e+000	
6.770000e+002	6.394845e+000	3.310245e+000	
6.780000e+002	6.746416e+000	3.553870e+000	
6.790000e+002	7.042228e+000	3.305567e+000	
6.800000e+002	7.657745e+000	3.322718e+000	
6.810000e+002	7.414020e+000	3.145267e+000	
6.820000e+002	7.659144e+000	3.165199e+000	
6.830000e+002	8.283924e+000	3.129347e+000	
6.840000e+002	7.948544e+000	3.121955e+000	
6.850000e+002	1.014901e+001	3.193579e+000	
6.860000e+002	9.592370e+000	3.396605e+000	
6.870000e+002	9.833730e+000	3.248568e+000	
6.880000e+002	1.043014e+001	2.995523e+000	
6.890000e+002	1.118617e+001	3.042489e+000	
6.900000e+002	1.216300e+001	2.913947e+000	
6.910000e+002	1.247130e+001	3.028802e+000	
6.920000e+002	1.334187e+001	2.909158e+000	
6.930000e+002	1.345893e+001	2.843051e+000	
6.940000e+002	1.505291e+001	2.878048e+000	
6.950000e+002	1.630443e+001	2.743653e+000	
6.960000e+002	1.977418e+001	2.753412e+000	
6.970000e+002	2.261946e+001	2.809774e+000	
6.980000e+002	2.642778e+001	3.073229e+000	
6.990000e+002	2.782659e+001	3.308304e+000	
7.000000e+002	2.333556e+001	3.749241e+000	
7.010000e+002	1.933862e+001	3.981402e+000	
7.020000e+002	1.307333e+001	4.402319e+000	
7.030000e+002	1.042708e+001	4.519593e+000	
7.040000e+002	7.059050e+000	4.628561e+000	
7.050000e+002	5.732646e+000	4.694985e+000	
7.060000e+002	4.721757e+000	4.542917e+000	
7.070000e+002	6.361546e+000	4.305454e+000	
7.080000e+002	5.305002e+000	4.410595e+000	
7.090000e+002	6.170589e+000	4.108343e+000	
7.100000e+002	6.278732e+000	4.024240e+000	
7.110000e+002	5.897037e+000	4.260501e+000	
7.120000e+002	6.433378e+000	3.921957e+000	
7.130000e+002	6.332317e+000	3.572220e+000	
7.140000e+002	7.031350e+000	3.737467e+000	
7.150000e+002	7.159636e+000	3.685366e+000	
7.160000e+002	7.303194e+000	3.564126e+000	
7.170000e+002	7.663214e+000	3.442198e+000	
7.180000e+002	7.976974e+000	3.490234e+000	
7.190000e+002	8.319142e+000	3.420735e+000	
7.200000e+002	8.457444e+000	3.370050e+000	
