# Torricelli ver3.3.359
"Type";"Name";"Symbol";"Color";"Component";"Slice nb";"Pc";"Fc";"Pc_err";"Fc_err";"Sr";"Sr_err";"|Si|";"Psi";"Q";"Q_err";"Delta";"Sigma";"deltaEn";"Note";"Path"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2";"t";"(255, 0, 0)";"C[C3] CPSeV";1;0.29984;1.16681;0.00179;0.0278;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2";"t";"(128, 128, 128)";"1 CPSeV";2;0.24845;0.88039;0.0018;0.01797;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2";"t";"(255, 0, 255)";"C[C2H] CPSeV";2;0.00513;1.32332;0.0;0.0;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2";"t";"(0, 255, 0)";"C[C2N] CPSeV";2;0.24647;0.76801;0.0263;0.25813;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2";"t";"(255, 0, 0)";"C[C3] CPSeV";2;0.30403;0.94227;0.0026;0.02911;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-2"
"Group";"2N-DBTPTP_Cu111_1stPrep_1.8A_69357-69435/69403_C1s-XSW-Model-4";"+";"(0, 0, 0)";"";"";0.245028298318;0.819875887181;"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"1 CPSeV";0;0.27288;0.94756;0.00146;0.01601;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(128, 128, 128)";"C[C2H] CPSeV";0;0.13915;0.53361;0.01526;0.05513;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(0, 170, 0)";"C[C2N] CPSeV";0;0.29998;0.99985;0.00947;0.11691;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"C[C3] CPSeV";0;0.28359;1.07377;0.00147;0.0197;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"1 CPSeV";1;0.2612;0.95575;0.00208;0.02296;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(128, 128, 128)";"C[C2H] CPSeV";1;0.13981;0.65756;0.0136;0.06058;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(0, 170, 0)";"C[C2N] CPSeV";1;0.25304;0.61246;0.01074;0.07112;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"C[C3] CPSeV";1;0.27591;1.12278;0.00153;0.02322;1.0;"";1.0;0.0;0.10125;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"1 CPSeV";2;0.24832;0.8798;0.00179;0.01794;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(128, 128, 128)";"C[C2H] CPSeV";2;0.13293;0.87267;0.01209;0.07138;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(0, 170, 0)";"C[C2N] CPSeV";2;0.25202;0.83142;0.00934;0.08836;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4";"s";"(85, 0, 255)";"C[C3] CPSeV";2;0.26817;0.95394;0.00149;0.01836;1.0;"";1.0;0.0;0.14036;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-4"
"Group";"2N-DBTPTP_Cu111_1stPrep_1.8A_69357-69435/69403_C1s-XSW-Model-6b";"+";"(0, 0, 0)";"";"";0.215624382266;0.845857694369;"";"";"";"";"";"";"";"";"";"";"";"";""
"Point";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b";"s";"(85, 0, 255)";"1 CPSeV";0;0.27287;0.94685;0.00145;0.0159;1.0;"";1.0;0.0;0.06096;0.0;-0.1989;0.13317;0.49543;"";"C:\Users\anonymous\randomData\69403_C1s-XSW-Model-6b"
