Element,x (a),y (b),z (c)
A,.125,.125,.125
A,-.125,-.125,-.125
A,.375,.375,-.125
A,.375,-.125,.375
A,-.125,.375,.375
A,.125,.625,.625
A,.625,.125,.625
A,.625,.625,.125
