Element,x (a),y (b),z (c)
A, 0.0,   0.0,    0.0
A, 0.0,   0.0,    1/2.0
A, 1/3.0, 2/3.0,  1/3.0
A, 1/3.0, 2/3.0,  2/3.0
A, 2/3.0, 1/3.0,  1/6.0
A, 2/3.0, 1/3.0,  5/6.0
B, 0.0,   0.0,    1/8.0
B, 0.0,   0.0,    5/8.0
B, 1/3.0, 2/3.0, 11/24.0
B, 1/3.0, 2/3.0, 19/24.0
B, 2/3.0, 1/3.0, 23/24.0
B, 2/3.0, 1/3.0,  7/24.0
