Element,x (a),y (b),z (c)
A, 0.0,   0.0,    0.4008
A, 2/3.0, 1/3.0,  0.7341333333333333
A, 1/3.0, 2/3.0,  1.0674666666666666
A, 0.0,   0.0,    -0.4008
A, 2/3.0, 1/3.0,  -0.06746666666666667
A, 1/3.0, 2/3.0,  0.26586666666666664
B, 0.0,   0.0,    0.0
B, 2/3.0, 1/3.0,  1/3.0
B, 1/3.0, 2/3.0,  2/3.0
B, 0.0,   0.0,    0.2117
B, 2/3.0, 1/3.0,  0.5450333333333333
B, 1/3.0, 2/3.0,  0.8783666666666666
B, 0.0,   0.0,    -0.2117
B, 2/3.0, 1/3.0,  0.12163333333333332
B, 1/3.0, 2/3.0,  0.45496666666666663
