Element,x (a),y (b),z (c)
A, 0.0,   0.0,    0.4006
A, 2/3.0, 1/3.0,  0.7339333333333333
A, 1/3.0, 2/3.0,  1.0672666666666666
A, 0.0,   0.0,    -0.4006
A, 2/3.0, 1/3.0,  -0.0672666666666667
A, 1/3.0, 2/3.0,  0.2660666666666666
B, 0.0,   0.0,    0.0
B, 2/3.0, 1/3.0,  1/3.0
B, 1/3.0, 2/3.0,  2/3.0
B, 0.0,   0.0,    0.2109
B, 2/3.0, 1/3.0,  0.5442333333333333
B, 1/3.0, 2/3.0,  0.8775666666666666
B, 0.0,   0.0,    -0.2109
B, 2/3.0, 1/3.0,  0.12243333333333331
B, 1/3.0, 2/3.0,  0.45576666666666665
